GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
40.3368861288,116.0318261608,40.338211099,116.0380864366,40.344582,116.044506,北京市延庆县,-,北京八达岭水关长城
0,0,0,0,0,0,-,-,北京十三陵总神道5A景区
40.2489675591,116.2149996279,40.2502326854,116.2211097,40.255906,116.227731,北京市昌平区S212(昌赤路),-,北京十三陵长陵5A景区
0,0,0,0,0,0,-,-,太平洋（汉海）海底世界
0,0,0,0,0,0,-,-,皇家御河游--中国的“塞纳河”之旅
0,0,0,0,0,0,-,-,昌平北方国际射击场（轻武器展览中心）
40.3433570407,116.1596311241,40.3447472349,116.1659128576,40.351079,116.172305,北京市昌平区,-,昌平十三陵双龙山森林公园
0,0,0,0,0,0,-,-,燕子湖自然风景区
40.2761932833,116.4532514697,40.2775726398,116.4594634658,40.28323,116.466056,北京市昌平区,-,昌平大杨山国家森林公园
40.2712184859,116.1415371637,40.2726224005,116.1478564481,40.27888,116.15425,北京市昌平区虎峪路,-,昌平虎峪自然风景区
40.1280081866,116.0042493895,40.1292427414,116.0104184702,40.135381,116.016917,北京市昌平区,-,昌平棋盘山风景区
0,0,0,0,0,0,-,-,艺麓园
0,0,0,0,0,0,-,-,龙脉温泉疗养院?溶岩温泉
0,0,0,0,0,0,-,-,静之湖汤泉
40.4372045797,116.276658787,40.4385112514,116.2827581303,40.444852,116.28915,北京市延庆县,-,延庆莲花山森林公园
0,0,0,0,0,0,-,-,延庆元代谷风景区
40.5687442109,116.2299214324,40.57011743,116.2360583266,40.575892,116.242647,北京市延庆县S323(延琉路),-,延庆青山园
40.3571383972,116.000562765,40.3583812114,116.0067264813,40.364345,116.013297,北京市延庆县S216(京藏高速辅路),-,延庆詹天佑纪念馆
39.9383291593,116.4753280485,39.9396288522,116.4814327563,39.945541,116.487928,北京市朝阳区朝阳公园南路1号,-,朝阳公园勇敢者游乐园
0,0,0,0,0,0,-,-,索尼探梦科技馆
0,0,0,0,0,0,-,-,蒸汽?数字海洋馆
